Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Alpha_Naive_Bayes,Binarize_Naive_Bayes,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
False,False,False,1000,1.2,False,False,0.001,0.0,90.37527697646223,0.8324099110957587,0.8579902649020423,0.8334968121430469,0.8993404009862138,0.9264512276045123,0.9126184015493066,274.7,0.7242607383509576,0.9109152752009892,0.8065564790389997,98.8,0.9610642964567925,0.6084415584415584,0.7449565983117438,154.0,0.5833333333333333,0.65,0.5903968253968254,3.3,0.9976710186318509,0.9924248606011151,0.9950300071509982,171.7,0.9897886643026694,0.9992606259395928,0.994491965626797,270.6,0.614297425054036,0.8136734693877552,0.6999070481750909,49.9,0.8895234116502152,0.962755102040816,0.9240171718946127,48.2
False,False,False,1000,1.2,False,False,1e-05,0.0,90.37529439636552,0.8385749602587509,0.8547345750431525,0.8330043561793694,0.8976091327857965,0.9282707365627074,0.9126097459882825,274.7,0.7281867072641981,0.9068645640074212,0.8073566794514608,98.8,0.9600732952921905,0.6077922077922078,0.7441605418277487,154.0,0.6333333333333333,0.625,0.5875396825396826,3.3,0.9976710186318509,0.9924248606011151,0.9950300071509982,171.7,0.9897886643026694,0.9992606259395928,0.994491965626797,270.6,0.6128138902472606,0.8196326530612247,0.7009684736681437,49.9,0.889123640212708,0.9586309523809522,0.9218777531818413,48.2
False,False,False,1000,1.2,True,False,1,0.0,90.2353080535697,0.7656303376454114,0.7668525711389964,0.761237307057972,0.8586115767970867,0.9493934970139349,0.9016388568765661,274.7,0.7454935876095715,0.8815295815295816,0.8074454585360609,98.8,0.9410125204597778,0.6461038961038962,0.7656556586539705,154.0,0.0,0.0,0.0,3.3,0.994209336004403,0.994172446620427,0.9941740376925191,171.7,0.9867121528465755,0.9841041410414102,0.9853818854402869,270.6,0.715223978864607,0.7334285714285714,0.7223521106534019,49.9,0.8837795485812701,0.9460884353741497,0.9132504486109706,48.2
False,False,False,1000,1.2,True,False,0.001,0.0,90.94480329445211,0.8474503456894545,0.8489830502068857,0.8383169807750772,0.8794448566557133,0.9446582614465825,0.9108224859992985,274.7,0.7591060126450329,0.886590393733251,0.8174607152196272,98.8,0.9521016090661538,0.6311688311688312,0.7588920040807369,154.0,0.5966666666666667,0.5583333333333333,0.5471428571428572,3.3,0.9976710186318509,0.9935910512715898,0.9956165325026554,171.7,0.9901483769464517,0.9992606259395928,0.9946741150160816,270.6,0.6593830359064297,0.8217142857142857,0.7313346399734717,49.9,0.9450811889973381,0.956547619047619,0.9505924962658895,48.2
False,False,False,1000,1.2,True,False,1e-05,0.0,90.93547493624315,0.8585932250196533,0.8460188659653942,0.8414651331297567,0.8775923884954808,0.9464777704047778,0.9106648027174822,274.7,0.7588431842900601,0.8784992784992787,0.8138366964755115,98.8,0.9502106698863864,0.6305194805194805,0.7577887125027922,154.0,0.6900000000000002,0.5333333333333333,0.5733333333333334,3.3,0.9976710186318509,0.9935910512715898,0.9956165325026554,171.7,0.9901483769464517,0.9992606259395928,0.9946741150160816,270.6,0.6604810241917094,0.8216734693877552,0.7318524793255917,49.9,0.9437991377152869,0.9647959183673468,0.9539543931646051,48.2
False,False,False,1000,1.2,False,True,1,0.0,89.92728932368969,0.7734198662314627,0.76348366494545,0.7646991870161608,0.8417657292455653,0.9508506967485069,0.8929589587912196,274.7,0.763701673817297,0.8259121830550402,0.7929898554769681,98.8,0.9132334104783919,0.6480519480519481,0.7578123984028341,154.0,0.0,0.0,0.0,3.3,0.995388819541797,0.997674418604651,0.9965149152150946,171.7,0.9863980202813935,0.9833647669810031,0.9848331240113956,270.6,0.7388991258679539,0.7414285714285713,0.7387031893085643,49.9,0.9479721506193028,0.9605867346938777,0.9537810549232104,48.2
False,False,False,1000,1.2,False,True,0.001,0.0,90.53403326504733,0.8490628062553783,0.840562106893298,0.8358323960801156,0.8654589294582891,0.9504830789648308,0.9059372545497546,274.7,0.7682634801849635,0.8410946196660483,0.8021481063597833,98.8,0.9302968594552453,0.6292207792207792,0.750174434131117,154.0,0.64,0.5583333333333333,0.569047619047619,3.3,0.9976777399653635,0.9941758465932272,0.9959097727223313,171.7,0.988712248801674,0.9992606259395928,0.9939461982245208,270.6,0.6610021862098867,0.8016734693877551,0.7241325157471924,49.9,0.9410910059676045,0.9502551020408163,0.9453632678586066,48.2
False,False,False,1000,1.2,False,True,1e-05,0.0,90.50603948046883,0.8570105556162371,0.8404703683869021,0.8391471898920368,0.8631638059413435,0.9501181154611812,0.9045015334938409,274.7,0.7697488304067793,0.8360338074623789,0.8004323376481335,98.8,0.9286824903613127,0.6298701298701299,0.7500854486698653,154.0,0.7066666666666668,0.5583333333333333,0.5971428571428572,3.3,0.9976777399653635,0.9941758465932272,0.9959097727223313,171.7,0.988712248801674,0.9992606259395928,0.9939461982245208,270.6,0.6618331088827942,0.8015918367346938,0.7246017782776795,49.9,0.9395995539039639,0.9543792517006802,0.9465575929570671,48.2
False,False,False,1000,1.3,False,False,1,0.0,89.63772698133981,0.8040146839201187,0.8525378672787103,0.8139998106731557,0.9092444908272832,0.9180822826808226,0.9135603396058313,274.7,0.6978599487985863,0.9351473922902495,0.7988134934719404,98.8,0.976753373361916,0.5928571428571427,0.7376596321601256,154.0,0.4428571428571429,0.65,0.518989898989899,3.3,0.9976710186318509,0.9924248606011151,0.9950300071509982,171.7,0.9929309635477874,0.9837351373513734,0.9882948735442507,270.6,0.5814619732120876,0.7956326530612245,0.6718051317490656,49.9,0.8333385601242952,0.9524234693877551,0.8878451087131344,48.2
False,False,False,1000,1.3,False,False,0.001,0.0,90.25390380032611,0.8310566282878314,0.857953960248673,0.831966082673687,0.908282039883435,0.9253629727936298,0.9166563075018272,274.7,0.7103698894202537,0.9189857761286332,0.8008752262154388,98.8,0.9674804420908003,0.5954545454545455,0.7369373829721059,154.0,0.595,0.65,0.601111111111111,3.3,0.9976710186318509,0.9924248606011151,0.9950300071509982,171.7,0.9919585075597711,0.9988916222495557,0.9954019686094414,270.6,0.5982621969601499,0.8197142857142857,0.6915498575188009,49.9,0.8794289317563895,0.962797619047619,0.9181668003097714,48.2
