Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Alpha_Naive_Bayes,Binarize_Naive_Bayes,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional Precision,Functional Recall,Functional F1-Score,Functional Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
False,False,False,1000,1.2,False,False,0.001,0.0,94.10942486447317,0.820797132763736,0.8929139713968766,0.8395212263114429,0.9894013971030476,0.9006605428094991,0.9428967206837251,527.5,0.5900000000000001,0.625,0.5661904761904762,3.3,0.9988199665831246,0.9924248606011151,0.9956010971381255,171.7,0.9915883322964962,0.9988916222495557,0.9952191979506091,270.6,0.4872481996742689,0.8757959183673469,0.6253283163757318,49.9,0.8677249009254787,0.9647108843537415,0.9118915495299887,48.2
False,False,False,1000,1.2,False,False,1e-05,0.0,94.19346718787018,0.8231886535955075,0.8890566377498302,0.8385018664318233,0.9890116523134127,0.902557357253752,0.9437664704299806,527.5,0.6,0.6,0.5554761904761905,3.3,0.9988199665831246,0.9924248606011151,0.9956010971381255,171.7,0.9915883322964962,0.9988916222495557,0.9952191979506091,270.6,0.49066908270124115,0.8757551020408163,0.6282056487896482,49.9,0.8690428876787702,0.9647108843537415,0.9127425938063858,48.2
False,False,False,1000,1.2,True,False,1,0.0,96.2378844572655,0.77394043740066,0.7504077515741905,0.7596106059775252,0.9554987615101341,0.9835069144960036,0.9692841390749386,527.5,0.0,0.0,0.0,3.3,0.9901487903827532,0.9924248606011151,0.9912685242665132,171.7,0.9933011190408731,0.984115074484078,0.9886681087274167,270.6,0.7904274999383695,0.6130204081632654,0.6873127479197025,49.9,0.9142664535318297,0.9293792517006804,0.9211301158765799,48.2
False,False,False,1000,1.2,True,False,0.001,0.0,97.01275659517539,0.8763132139944659,0.8736811224410674,0.8696362547186134,0.9745633521591088,0.9721324966936923,0.9733357586036482,527.5,0.5966666666666667,0.5666666666666667,0.5507142857142857,3.3,0.9988199665831246,0.9924248606011151,0.9956010971381255,171.7,0.9941350847068167,0.9988916222495557,0.9965008957844945,270.6,0.7400683265598034,0.7535102040816326,0.7460671475571942,49.9,0.9536258872912764,0.9584608843537415,0.9555983435139316,48.2
False,False,False,1000,1.2,True,False,1e-05,0.0,97.03143073149658,0.8859135678835756,0.8702336631543224,0.8719493627106661,0.9743863622910387,0.9723218906330862,0.973340377985838,527.5,0.6566666666666666,0.5416666666666667,0.5638095238095238,3.3,0.9988199665831246,0.9924248606011151,0.9956010971381255,171.7,0.9941350847068167,0.9988916222495557,0.9965008957844945,270.6,0.7431879939813154,0.7534693877551021,0.7475882752891624,49.9,0.9482853330724916,0.9626275510204083,0.9548560062568523,48.2
False,False,False,1000,1.2,False,True,1,0.0,96.59259723790014,0.7884070846014648,0.7656367586006774,0.775409988057334,0.9628761044495645,0.9823701914783507,0.9725089717127509,527.5,0.0,0.0,0.0,3.3,0.9913054468017914,0.9930096559227526,0.9921450133112604,171.7,0.9925535748149279,0.9830053300533004,0.987741160821359,270.6,0.8355503520640463,0.6832244897959183,0.7503576718568051,49.9,0.948157029478458,0.9522108843537417,0.9497071106418286,48.2
False,False,False,1000,1.2,False,True,0.001,0.0,96.8353871399306,0.8761977296410773,0.8708927380257176,0.8689557713704786,0.9730323747950476,0.9698579725145191,0.9714261465317298,527.5,0.615,0.5666666666666667,0.5650000000000001,3.3,0.9988199665831246,0.9924248606011151,0.9956010971381255,171.7,0.9926765478951239,0.9988916222495557,0.9957669508165627,270.6,0.7362960287522241,0.7494285714285713,0.7417595714017579,49.9,0.9413614598209443,0.9480867346938776,0.9441808623346966,48.2
False,False,False,1000,1.2,False,True,1e-05,0.0,96.81673042351268,0.8825155131528296,0.865809834385278,0.8683514431216641,0.9721276117292217,0.9702364010120178,0.9711627764892661,527.5,0.6566666666666666,0.5416666666666667,0.5661904761904761,3.3,0.9988199665831246,0.9924248606011151,0.9956010971381255,171.7,0.9926765478951239,0.9988916222495557,0.9957669508165627,270.6,0.734850242664167,0.7373877551020407,0.7349890993534436,49.9,0.9399520433786744,0.9542517006802722,0.9463982587421109,48.2
False,False,False,1000,1.3,False,False,1,0.0,92.44780996975905,0.7719900347857518,0.885748320401917,0.8070009520877228,0.9929248565237299,0.8746948852854926,0.9300021984507586,527.5,0.4238095238095238,0.6249999999999999,0.4866666666666667,3.3,0.9935905360664762,0.9924248606011151,0.9929942066956224,171.7,0.994421899443045,0.984115074484078,0.9892225963915328,270.6,0.4258063910210761,0.8798367346938777,0.572843285533041,49.9,0.8013870018506596,0.9584183673469386,0.8702767587887156,48.2
False,False,False,1000,1.3,False,False,0.001,0.0,93.1946186434773,0.8080459838201337,0.8907230848271948,0.8293323288846146,0.9915005384420252,0.8815152233914093,0.9332175769887892,527.5,0.58,0.625,0.5661904761904761,3.3,0.9988199665831246,0.9924248606011151,0.9956010971381255,171.7,0.994508118972616,0.9988916222495557,0.9966870915582773,270.6,0.4403608744520769,0.8817959183673469,0.5863482803929786,49.9,0.8430864044709591,0.9647108843537415,0.8979494510390408,48.2
False,False,False,1000,1.3,False,False,1e-05,0.0,93.32532017782238,0.8137419051987592,0.8870443309698356,0.8299591311430277,0.990895516500083,0.884359366913921,0.9345463053916122,527.5,0.61,0.6,0.5638095238095238,3.3,0.9988199665831246,0.9924248606011151,0.9956010971381255,171.7,0.994508118972616,0.9988916222495557,0.9966870915582773,270.6,0.4449943938706838,0.8797959183673468,0.5901815881279621,49.9,0.8432334352660478,0.966794217687075,0.8989291808326646,48.2
