Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Alpha_Naive_Bayes,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional Precision,Functional Recall,Functional F1-Score,Functional Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
TRUE,FALSE,TRUE,1000,1.3,FALSE,FALSE,0.001,97.61952667,0.920713202,0.87754702,0.8920656,0.970326043,0.984837344,0.977519942,527.5,0.748333333,0.6,0.637142857,3.3,0.997106389,0.998833809,0.997964239,171.7,0.999632353,0.999260626,0.999445466,270.6,0.81925875,0.70522449,0.757101086,49.9,0.98962234,0.97712585,0.983220007,48.2
TRUE,FALSE,TRUE,1000,1.3,TRUE,FALSE,0.001,97.74088242,0.940182677,0.876917025,0.899083684,0.970072873,0.988058838,0.978970675,527.5,0.841666667,0.6,0.671190476,3.3,0.998252375,0.998249014,0.998249009,171.7,0.999630996,0.999260626,0.999444785,270.6,0.840040206,0.711265306,0.76896164,49.9,0.991432946,0.964668367,0.97768552,48.2
TRUE,FALSE,TRUE,1000,1.3,FALSE,TRUE,0.001,97.6662033,0.936060458,0.872716455,0.892841046,0.970388278,0.986352496,0.978291112,527.5,0.833333333,0.575,0.641904762,3.3,0.997109749,0.999418605,0.998257475,171.7,0.999261993,0.999260626,0.999259943,270.6,0.828873753,0.703265306,0.759408952,49.9,0.98739564,0.973001701,0.979924032,48.2
TRUE,FALSE,TRUE,5000,1.1,FALSE,FALSE,0.001,97.99292229,0.942367964,0.886083983,0.904550381,0.974445291,0.988057041,0.981183043,527.5,0.825,0.6,0.660952381,3.3,0.994248983,0.998833809,0.996523284,171.7,0.999632353,0.998890256,0.999259938,270.6,0.864881156,0.749387755,0.800921921,49.9,0.996,0.981335034,0.988461718,48.2
TRUE,FALSE,TRUE,5000,1.1,TRUE,FALSE,0.001,98.04893599,0.948003141,0.880171075,0.902071805,0.972499983,0.99071215,0.981505106,527.5,0.841666667,0.575,0.643809524,3.3,0.998248935,0.997664219,0.997954039,171.7,0.998901099,0.999260626,0.999077142,270.6,0.87670216,0.745387755,0.803951788,49.9,1,0.973001701,0.98613323,48.2
TRUE,FALSE,TRUE,5000,1.1,FALSE,TRUE,0.001,97.89025809,0.932522137,0.857373064,0.881885935,0.97016465,0.990902263,0.980413863,527.5,0.76,0.458333333,0.538333333,3.3,0.996521394,0.997082823,0.996791149,171.7,0.999261983,0.997780511,0.998518506,270.6,0.869184797,0.731346939,0.793298933,49.9,1,0.968792517,0.983959829,48.2
TRUE,FALSE,TRUE,5000,1.2,FALSE,FALSE,0.001,98.04897954,0.933843986,0.891813493,0.90475959,0.974448074,0.988817132,0.981561761,527.5,0.756666667,0.633333333,0.653571429,3.3,0.994807424,0.998833809,0.996808156,171.7,0.999632353,0.999260626,0.999445466,270.6,0.881637059,0.753510204,0.810881013,49.9,0.99587234,0.97712585,0.986289716,48.2
TRUE,FALSE,TRUE,5000,1.2,TRUE,FALSE,0.001,98.03963376,0.946885072,0.889513533,0.910060992,0.972661653,0.990144687,0.981311588,527.5,0.835,0.633333333,0.692380952,3.3,0.9976743,0.998249014,0.997957434,171.7,0.999630996,0.999260626,0.999444785,270.6,0.876343483,0.751510204,0.807554773,49.9,1,0.964583333,0.981716418,48.2
TRUE,FALSE,TRUE,5000,1.2,FALSE,TRUE,0.001,98.03028799,0.948805445,0.881236423,0.904208814,0.971646521,0.991849232,0.981625546,527.5,0.835,0.6,0.662380952,3.3,0.997106349,0.998833809,0.997964225,171.7,0.999261983,0.998890256,0.999075096,270.6,0.889817815,0.739469388,0.805624576,49.9,1,0.95837585,0.978582491,48.2
TRUE,FALSE,TRUE,5000,1.3,FALSE,FALSE,0.001,97.92761508,0.929427494,0.888659556,0.900778007,0.972979763,0.988058479,0.980441279,527.5,0.751666667,0.633333333,0.65,3.3,0.995963494,0.998833809,0.997387866,171.7,1,0.999260626,0.999629628,270.6,0.86212171,0.737428571,0.793003352,49.9,0.993833333,0.975042517,0.984205916,48.2
TRUE,FALSE,TRUE,5000,1.3,TRUE,FALSE,0.001,97.95562628,0.944363928,0.88800126,0.908146636,0.972115843,0.989195202,0.980565,527.5,0.835,0.633333333,0.692380952,3.3,0.998252335,0.998249014,0.998247289,171.7,0.999260626,0.999260626,0.999259944,270.6,0.861554767,0.745469388,0.797808357,49.9,1,0.9625,0.980618271,48.2
TRUE,FALSE,TRUE,5000,1.3,FALSE,TRUE,0.001,97.94629792,0.946449778,0.875870365,0.898200073,0.970534226,0.990901185,0.980596207,527.5,0.835,0.575,0.635714286,3.3,0.998255775,0.998833809,0.998542259,171.7,0.99962963,0.998890256,0.999259258,270.6,0.877452949,0.737387755,0.799731744,49.9,0.997826087,0.954209184,0.975356684,48.2
TRUE,TRUE,FALSE,1000,1.1,FALSE,FALSE,0.001,97.46077909,0.888297501,0.859567636,0.871898171,0.969718904,0.982751854,0.97616779,527.5,0.575,0.5,0.531190476,3.3,0.994814146,0.998833809,0.996809855,171.7,0.999267399,0.999260626,0.999261981,270.6,0.805326947,0.693183673,0.743599848,49.9,0.985657611,0.98337585,0.984359074,48.2
TRUE,TRUE,FALSE,1000,1.1,TRUE,FALSE,0.001,97.51681892,0.922792693,0.852939023,0.875882697,0.966762659,0.986731643,0.976639287,527.5,0.758333333,0.483333333,0.555952381,3.3,0.998830369,0.998249014,0.998537144,171.7,0.999264706,0.999260626,0.999260625,270.6,0.817961227,0.68122449,0.742982322,49.9,0.995603865,0.968835034,0.981924421,48.2
TRUE,TRUE,FALSE,1000,1.1,FALSE,TRUE,0.001,97.47948806,0.930315137,0.867304124,0.88935429,0.96638928,0.986163461,0.976168,527.5,0.801666667,0.575,0.64,3.3,0.995960054,0.997667619,0.996803056,171.7,0.999261993,0.998891622,0.999075782,270.6,0.820653645,0.67722449,0.741105675,49.9,0.997959184,0.968877551,0.982973228,48.2
TRUE,TRUE,FALSE,1000,1.2,FALSE,FALSE,0.001,97.46084877,0.903532077,0.863781798,0.873722802,0.966056685,0.985786829,0.975791676,527.5,0.635,0.558333333,0.550238095,3.3,0.997106349,0.998833809,0.997964225,171.7,0.999264706,0.999260626,0.999261304,270.6,0.825805537,0.659183673,0.729631611,49.9,0.997959184,0.981292517,0.989449902,48.2
TRUE,TRUE,FALSE,1000,1.2,TRUE,FALSE,0.001,97.37681515,0.924666597,0.865467915,0.885618767,0.966516877,0.983697746,0.975013547,527.5,0.8,0.566666667,0.633095238,3.3,0.998833809,0.998833809,0.998832114,171.7,0.999264706,0.999260626,0.999260625,270.6,0.785467524,0.669306122,0.721286756,49.9,0.997916667,0.975042517,0.986224322,48.2
TRUE,TRUE,FALSE,1000,1.2,FALSE,TRUE,0.001,97.2834706,0.92451326,0.870622079,0.888341045,0.96610367,0.98237127,0.974155369,527.5,0.816666667,0.608333333,0.663095238,3.3,0.997687784,0.999418605,0.99854733,171.7,0.999630996,0.999260626,0.999444785,270.6,0.773329097,0.659306122,0.710639699,49.9,0.993661348,0.975042517,0.984163852,48.2 
TRUE,TRUE,FALSE,1000,1.3,FALSE,FALSE,0.001,97.32080145,0.890930172,0.860465976,0.869237623,0.966497879,0.982182954,0.974228994,527.5,0.593333333,0.533333333,0.535238095,3.3,0.997687784,0.999418605,0.99854733,171.7,0.999632353,0.999260626,0.999445466,270.6,0.792429684,0.66522449,0.718450812,49.9,0.996,0.98337585,0.989515042,48.2
TRUE,TRUE,FALSE,1000,1.3,TRUE,FALSE,0.001,97.36750422,0.928163186,0.856086172,0.877856445,0.966698877,0.983698105,0.975106065,527.5,0.825,0.508333333,0.587857143,3.3,0.998255814,0.998833809,0.998542274,171.7,0.999630996,0.999260626,0.999444785,270.6,0.787861667,0.669265306,0.721979499,49.9,0.991531761,0.97712585,0.9842089,48.2
