Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Alpha_Naive_Bayes,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
TRUE,FALSE,TRUE,1000,1.1,FALSE,TRUE,0.001,94.33340127,0.899240652,0.871561503,0.878745679,0.962283315,0.954123424,0.958106338,274.7,0.818378072,0.844145537,0.830821789,98.8,0.867937058,0.888311688,0.877603218,154,0.748333333,0.558333333,0.603968254,3.3,0.996544889,0.998255814,0.997386161,171.7,0.999632353,0.998890256,0.999259938,270.6,0.80669855,0.757387755,0.779557802,49.9,0.994117647,0.973044218,0.983261931,48.2
TRUE,FALSE,TRUE,1000,1.2,FALSE,FALSE,0.001,95.36977229,0.912880234,0.884502484,0.89312828,0.969580033,0.953390843,0.961260488,274.7,0.833917443,0.899804164,0.86497621,98.8,0.909524644,0.931168831,0.919878343,154,0.766666667,0.583333333,0.637380952,3.3,0.995960094,0.998833809,0.997387856,171.7,1,0.998890256,0.9994441,270.6,0.831392994,0.737469388,0.780536718,49.9,0.996,0.973129252,0.984161576,48.2
TRUE,FALSE,TRUE,1000,1.2,TRUE,FALSE,0.001,95.45378848,0.90507869,0.88984431,0.892585164,0.974616101,0.956305242,0.965241041,274.7,0.846985621,0.8997114,0.871978517,98.8,0.906259282,0.927922078,0.916693284,154,0.716666667,0.616666667,0.632380952,3.3,0.997691145,0.998252414,0.99796422,171.7,0.999632353,0.999260626,0.999445466,270.6,0.804660706,0.747591837,0.77380841,49.9,0.994117647,0.973044218,0.983169424,48.2
TRUE,FALSE,TRUE,1000,1.2,FALSE,TRUE,0.001,94.39882172,0.900405154,0.874638102,0.879911326,0.966543159,0.953396151,0.959842918,274.7,0.816187943,0.856163678,0.834985919,98.8,0.869462491,0.893506494,0.881202479,154,0.766666667,0.591666667,0.622380952,3.3,0.997109749,0.999418605,0.998257475,171.7,0.999632353,0.998521252,0.99907441,270.6,0.795679686,0.733428571,0.762435185,49.9,0.991959184,0.971003401,0.981111265,48.2
TRUE,FALSE,TRUE,1000,1.3,FALSE,FALSE,0.001,95.40712927,0.909030148,0.882628861,0.888344942,0.96990918,0.952299934,0.960877117,274.7,0.832367887,0.90890538,0.868339099,98.8,0.914278187,0.932467532,0.922936217,154,0.733333333,0.566666667,0.598571429,3.3,0.995960094,0.998833809,0.997387856,171.7,1,0.999260626,0.999629628,270.6,0.83431567,0.727469388,0.775803187,49.9,0.992076831,0.975127551,0.983215,48.2
TRUE,FALSE,TRUE,1000,1.3,TRUE,FALSE,0.001,95.48179969,0.903380577,0.883363328,0.888302433,0.976028874,0.957400133,0.966508047,274.7,0.844094677,0.903782725,0.872534988,98.8,0.908761168,0.925324675,0.916771335,154,0.708333333,0.558333333,0.596666667,3.3,0.99884057,0.998252414,0.998542254,171.7,0.999632353,0.999260626,0.999445466,270.6,0.797235991,0.753591837,0.773879426,49.9,0.994117647,0.970960884,0.982071277,48.2
TRUE,FALSE,TRUE,1000,1.3,FALSE,TRUE,0.001,94.33349708,0.889497815,0.870658605,0.87377955,0.968733893,0.954124751,0.961278607,274.7,0.81475555,0.853153989,0.832966615,98.8,0.867503434,0.890909091,0.878967297,154,0.691666667,0.566666667,0.582380952,3.3,0.997687784,0.999418605,0.99854733,171.7,0.999632353,0.998521252,0.99907441,270.6,0.78417675,0.731428571,0.755930442,49.9,0.991826087,0.971045918,0.981090751,48.2
TRUE,FALSE,TRUE,5000,1.1,FALSE,FALSE,0.001,95.52835438,0.912828227,0.883889243,0.892644987,0.969053456,0.95193497,0.960316435,274.7,0.824990789,0.905833849,0.863152919,98.8,0.923984061,0.935064935,0.929307807,154,0.75,0.55,0.610714286,3.3,0.995388703,0.998833809,0.997099676,171.7,1,0.998890256,0.9994441,270.6,0.847414592,0.755428571,0.797904711,49.9,0.991794218,0.975127551,0.983219965,48.2
TRUE,FALSE,TRUE,5000,1.1,TRUE,FALSE,0.001,95.72447636,0.92167591,0.883916522,0.893338501,0.971636331,0.955577969,0.963459335,274.7,0.842278798,0.914924758,0.876907667,98.8,0.92020429,0.932467532,0.926163003,154,0.808333333,0.525,0.596190476,3.3,0.997691145,0.997671019,0.997670969,171.7,0.999632353,0.999260626,0.999445466,270.6,0.845929094,0.775469388,0.807776107,49.9,0.987701937,0.970960884,0.979094983,48.2
TRUE,FALSE,TRUE,5000,1.1,FALSE,TRUE,0.001,95.38832448,0.925797293,0.866762739,0.882848418,0.966324361,0.957763769,0.961961141,274.7,0.842872661,0.889661925,0.865398855,98.8,0.906662818,0.925974026,0.915907398,154,0.866666667,0.425,0.543809524,3.3,0.996531715,0.998255814,0.997381139,171.7,0.999264706,0.998890256,0.999075775,270.6,0.833937769,0.761387755,0.79393042,49.9,0.994117647,0.977168367,0.985323094,48.2
TRUE,FALSE,TRUE,5000,1.2,FALSE,FALSE,0.001,96.10718292,0.920162688,0.893865169,0.901302862,0.981115271,0.95776775,0.969213857,274.7,0.846745722,0.938229231,0.889770392,98.8,0.92719743,0.942857143,0.93471036,154,0.766666667,0.583333333,0.637380952,3.3,0.995960094,0.998833809,0.997387856,171.7,1,0.999260626,0.999629628,270.6,0.855432779,0.753428571,0.800017101,49.9,0.988183543,0.977210884,0.982312748,48.2
TRUE,FALSE,TRUE,5000,1.2,TRUE,FALSE,0.001,95.8644627,0.916501529,0.890491432,0.897501512,0.978604809,0.960315859,0.969294348,274.7,0.859082462,0.908895073,0.882929401,98.8,0.911367481,0.928571429,0.919718,154,0.766666667,0.558333333,0.617619048,3.3,0.99884057,0.998252414,0.998540549,171.7,0.999632353,0.999260626,0.999445466,270.6,0.823817889,0.805591837,0.81366704,49.9,0.994,0.964710884,0.97879824,48.2
TRUE,FALSE,TRUE,5000,1.2,FALSE,TRUE,0.001,95.26699486,0.908790626,0.878847225,0.886985974,0.97350732,0.961771732,0.96755324,274.7,0.857326274,0.873438466,0.864638446,98.8,0.873449327,0.914285714,0.893206909,154,0.725,0.533333333,0.57952381,3.3,0.997122924,0.998837209,0.997967561,171.7,0.999264706,0.998890256,0.999075775,270.6,0.854671505,0.785510204,0.817028146,49.9,0.98998295,0.964710884,0.976893903,48.2
TRUE,FALSE,TRUE,5000,1.3,FALSE,FALSE,0.001,96.02318415,0.91480044,0.896691803,0.900797967,0.977769685,0.957036496,0.967228064,274.7,0.845338319,0.935178314,0.887480517,98.8,0.929558225,0.942207792,0.935592177,154,0.725,0.616666667,0.639761905,3.3,0.99538542,0.998833809,0.997099686,171.7,1,0.998890256,0.9994441,270.6,0.855559355,0.747510204,0.796513662,49.9,0.989792517,0.977210884,0.983263627,48.2
