Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,IDF,TFIDF,Accuracy,Precision,Recall,F1-Score,Functional Precision,Functional Recall,Functional F1-Score,Functional Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo-Support
True,True,True,5000,"(1, 3)",False,false,False,0.9696621932355031,0.8950821172048948,0.8287759311859617,0.8402516114881442,0.9623489932974352,0.9821804381576676,0.9717021283248609,527.5,0.625,0.4083333333333333,0.4652380952380953,3.3,0.9876946015985804,0.9994186046511627,0.9934403979284504,171.7,0.9992633492511395,0.9992606259395928,0.9992606234133294,270.6,0.8001857590822139,0.5999591836734695,0.6223309856549161,49.9,0.9960000000000001,0.9835034013605443,0.9895374383692129,48.2
True,True,True,5000,"(1, 3)",True,false,False,0.9662084361107628,0.8280967234697911,0.7511902101797874,0.7636814393243034,0.9446080009589206,0.9945036225633948,0.9684736355893314,527.5,0.15,0.1,0.12000000000000002,3.3,0.9982625352870009,0.992985856113151,0.9955156267532252,171.7,0.9989051094890511,0.9992606259395928,0.9990791696438972,270.6,0.8808046950837751,0.47183673469387755,0.5288808117886189,49.9,0.9960000000000001,0.9485544217687073,0.9701393921707469,48.2
True,True,True,5000,"(1, 3)",False,false,True,0.961634927602882,0.8210274526484899,0.7305086055493032,0.7450578421051036,0.9335729611062374,0.9967785061238571,0.9637135849110962,527.5,0.1,0.03333333333333333,0.05,3.3,0.9982625352870009,0.9900754793961648,0.9940329353134658,171.7,0.9996323529411765,0.9874306409730764,0.9933818259838842,270.6,0.8987784992095861,0.4559183673469388,0.5160305507915701,49.9,0.9959183673469388,0.919515306122449,0.9531881556306052,48.2
True,True,False,1000,"(1, 1)",False,false,False,0.9699421310812882,0.8843606859976145,0.8186037000011005,0.8316167743024933,0.9622575935937345,0.9829390920591111,0.9720986102434537,527.5,0.55,0.3416666666666667,0.4038095238095238,3.3,0.9844550818708517,0.9982524139806881,0.9911761891984359,171.7,0.9988970588235293,0.9992606259395928,0.9990764626068416,270.6,0.8145543816975718,0.6019183673469387,0.6318754546857004,49.9,0.9960000000000001,0.9875850340136054,0.9916644052710035,48.2
True,True,False,1000,"(1, 1)",True,false,False,0.9678891954791868,0.846654100937694,0.7671466173855661,0.7850908082099997,0.948520562767888,0.9939372376516589,0.970367993967377,527.5,0.35,0.16666666666666666,0.22000000000000003,3.3,0.9976944667201282,0.9970828233374132,0.9973725384920546,171.7,0.9992673992673993,0.9988902555692224,0.9990764525437127,270.6,0.7886088435374151,0.4979183673469388,0.5528714303461075,49.9,0.9958333333333333,0.9483843537414967,0.9708564339107454,48.2
True,True,False,1000,"(1, 1)",False,false,True,0.9636879503044999,0.8217175291268772,0.7435815003314503,0.7599376849829897,0.940165744982173,0.9960212897475706,0.9669691007181003,527.5,0.2,0.06666666666666667,0.1,3.3,0.9976944667201282,0.990656874745002,0.994036335286266,171.7,0.9992366412213741,0.9881713817138171,0.993571686224908,270.6,0.7973749885042547,0.4859591836734694,0.5429460491443354,49.9,0.9958333333333333,0.9340136054421768,0.9621029385243285,48.2
True,True,False,1000,"(1, 2)",False,false,False,0.9680751529467508,0.8962384482369783,0.8323196242068965,0.8464517331775039,0.9603361275257584,0.9823705508596401,0.9708676274775352,527.5,0.65,0.4333333333333333,0.4966666666666667,3.3,0.988809325754015,0.985407316741466,0.9867007207132215,171.7,0.9992633492511395,0.9992606259395928,0.9992606234133294,270.6,0.7830218868909571,0.6059183673469388,0.6335937630110577,49.9,0.9960000000000001,0.9876275510204081,0.9916209977832118,48.2
True,True,False,1000,"(1, 2)",True,false,False,0.967328971389551,0.8198108411106846,0.752635720304949,0.7652612757865831,0.949159389499545,0.9931760680811912,0.9703180687049491,527.5,0.15,0.06666666666666667,0.09,3.3,0.9943927648578811,0.9924044607643138,0.9932395241595475,171.7,1.0,0.9988902555692224,0.9994440996025362,270.6,0.8293128923066811,0.5059183673469387,0.5623565704071755,49.9,0.9960000000000001,0.9587585034013605,0.9762093918452901,48.2
True,True,False,1000,"(1, 2)",False,false,True,0.9654621674540463,0.8026292706567286,0.7450814147970654,0.7570572135386217,0.9459384315369987,0.9931764274624804,0.9686750815070384,527.5,0.1,0.03333333333333333,0.05,3.3,0.9938180908425565,0.9924044607643138,0.9929513542909936,171.7,1.0,0.992980729807298,0.9964224248850758,270.6,0.7800191015608171,0.5019183673469387,0.5591376602822792,49.9,0.9960000000000001,0.9566751700680272,0.9751567602663427,48.2
True,True,False,1000,"(1, 3)",False,false,False,0.9666744185236285,0.8793651907276413,0.8135544016972005,0.8302340217498017,0.95663794753919,0.9829376545339544,0.9693077083230375,527.5,0.55,0.3416666666666667,0.41,3.3,0.9909679388678005,0.9819155446756426,0.9860587860349292,171.7,0.9996323529411765,0.9992606259395928,0.9994454662968785,270.6,0.7829529050176808,0.5879183673469388,0.6249711720607543,49.9,0.9960000000000001,0.9876275510204081,0.9916209977832118,48.2
