Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,IDF,TFIDF,Accuracy,Precision,Recall,F1-Score,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo-Support
True,True,True,5000,"(1, 1)",True,false,False,0.9042198844712015,0.8152621215817344,0.7714045371390847,0.777648059845893,0.9505939558373733,0.9351705374917053,0.94219743513976,274.7,0.6757861578827901,0.6893630179344465,0.6731359743451769,98.8,0.7467705369100296,0.8337662337662337,0.7846399234589183,154.0,0.4,0.225,0.27,3.3,0.9932185875286595,0.9982558139534883,0.9956802150303294,171.7,0.9985293818382054,0.9992606259395928,0.9988929776246419,270.6,0.7612799853098792,0.534,0.5813896451108179,49.9,0.9959183673469388,0.9564200680272108,0.975248308057499,48.2
True,True,True,5000,"(1, 1)",False,false,True,0.8995523955850999,0.8022955798275946,0.7623125589766074,0.7673329110355125,0.939127382648891,0.9318978102189781,0.9347794826050506,274.7,0.6766383012084535,0.6782106782106784,0.6675435778118871,98.8,0.7329524829379638,0.8318181818181818,0.7763543449107038,154.0,0.3,0.19166666666666665,0.22000000000000003,3.3,0.9926471969233841,0.9889534883720928,0.9904865087944354,171.7,0.9996323529411765,0.9977818778187784,0.9987019654655885,270.6,0.7814485546139499,0.5279591836734694,0.578976253054658,49.9,0.9959183673469388,0.9502125850340134,0.971821155641776,48.2
True,True,True,5000,"(1, 2)",False,false,False,0.9091671370040555,0.8207989615430726,0.8001397417814783,0.8015593356650909,0.962564161697388,0.932258792302588,0.9462543011583516,274.7,0.7047457495498282,0.6579880437023293,0.6720078740207273,98.8,0.7533732170232338,0.8506493506493508,0.7971012054069261,154.0,0.44000000000000006,0.35,0.37444444444444447,3.3,0.9875803843821599,0.9994186046511627,0.9934045030558549,171.7,0.9996323529411765,0.9992606259395928,0.9994454662968785,270.6,0.7224958267507942,0.6239999999999999,0.6381741894104355,49.9,0.9960000000000001,0.9875425170068027,0.9916427015271075,48.2
True,True,True,5000,"(1, 2)",True,false,False,0.9072060913917808,0.8031854968112262,0.7720376887788809,0.775122006956012,0.9658194972384646,0.9366250829462508,0.9504231672566755,274.7,0.6805371037301083,0.6863533292104721,0.6749104079765251,98.8,0.7421091051294617,0.8448051948051948,0.7868501832352692,154.0,0.3,0.19166666666666665,0.22000000000000003,3.3,0.9943712962260651,0.9988372093023254,0.9965514901034803,171.7,0.9996323529411765,0.9992606259395928,0.9994454662968785,270.6,0.7470146192245334,0.554,0.5932285746186214,49.9,0.9960000000000001,0.9647534013605442,0.979566766160646,48.2
True,True,True,5000,"(1, 2)",False,false,True,0.9029127820282342,0.8046098953346597,0.7656483387260654,0.7698431123357233,0.9487531124216682,0.9369927007299269,0.9420840745696598,274.7,0.6798028401633797,0.6903731189445474,0.6760053208869059,98.8,0.7292911486679394,0.8383116883116883,0.7774955736047036,154.0,0.3,0.19166666666666665,0.22000000000000003,3.3,0.9994186046511627,0.997093023255814,0.9982472940657638,171.7,0.9996323529411765,0.9926185595189285,0.996040514946389,270.6,0.786064437165283,0.5299591836734694,0.5793478176610097,49.9,0.9939166666666666,0.9481717687074829,0.9695243029513545,48.2
True,True,True,5000,"(1, 3)",False,false,False,0.9102868883871957,0.822181088098894,0.8019640161052312,0.8033623258426346,0.9635466263591634,0.9329873921698738,0.9471696888293415,274.7,0.7037066660271695,0.655957534528963,0.6706431447962327,98.8,0.7571695943822293,0.8545454545454545,0.8007973723118835,154.0,0.44000000000000006,0.35,0.37444444444444447,3.3,0.9875803843821599,0.9994186046511627,0.9934045030558549,171.7,0.9996323529411765,0.9992606259395928,0.9994454662968785,270.6,0.7298130806992547,0.636,0.6493512854793326,49.9,0.9960000000000001,0.9875425170068027,0.9916427015271075,48.2
True,True,True,5000,"(1, 3)",True,false,False,0.9072065268893628,0.8024593726623775,0.7725418825018247,0.7751650783007131,0.962965120425649,0.9366250829462508,0.9490230972771283,274.7,0.6831629462657627,0.689383632240775,0.6778622169883557,98.8,0.7461230906452748,0.8415584415584416,0.7879336258496907,154.0,0.3,0.19166666666666665,0.22000000000000003,3.3,0.9943712962260651,0.9988372093023254,0.9965514901034803,171.7,0.9988997522085757,0.9992606259395928,0.9990778192380549,270.6,0.7381527755276943,0.552,0.5879794493412211,49.9,0.9960000000000001,0.9710034013605442,0.9828929276077731,48.2
True,True,True,5000,"(1, 3)",False,false,True,0.8999250073163594,0.799542344123672,0.7596991852793946,0.7652589119442995,0.9473492393132329,0.9366277372262772,0.9411864426170578,274.7,0.6707279528032047,0.6751803751803751,0.6626963691469099,98.8,0.7250564349804755,0.8350649350649352,0.7730293491910986,154.0,0.3,0.15833333333333333,0.2,3.3,0.9988405699690818,0.9918570651434788,0.9952406459539265,171.7,0.9996323529411765,0.9900232335656689,0.9947280841420483,270.6,0.7608155363155363,0.5339591836734694,0.5809690154896126,49.9,0.9939166666666666,0.956547619047619,0.9742213890137427,48.2
True,True,False,1000,"(1, 1)",False,false,False,0.9106609808102346,0.8370977067054488,0.8129232923097203,0.8151778150048781,0.9603012596470342,0.9311758460517584,0.9449895339790342,274.7,0.7156699327138115,0.6762007833436405,0.6874947935566179,98.8,0.7634417350176251,0.8564935064935065,0.8047565180565417,154.0,0.5416666666666666,0.45,0.47523809523809524,3.3,0.987573663048647,0.9988372093023254,0.9931112726624407,171.7,0.9996323529411765,0.9992606259395928,0.9994454662968785,270.6,0.734536859935159,0.6079999999999999,0.6279735293259541,49.9,0.9939591836734696,0.9834183673469388,0.9884133109234634,48.2
True,True,False,1000,"(1, 1)",True,false,False,0.9102872367852614,0.8176441351950059,0.7830731750958156,0.7877772610199345,0.9532553387971585,0.9369940278699402,0.9446055120624525,274.7,0.7096990796695205,0.6985260770975057,0.695577239064262,98.8,0.7586068004431499,0.8545454545454547,0.8004202297762945,154.0,0.36666666666666664,0.25,0.2871428571428572,3.3,0.9932350451938603,0.9982558139534883,0.9956835417296899,171.7,0.9992619825708061,0.9992606259395928,0.9992606246834654,270.6,0.7645098008719476,0.556,0.5964888259853136,49.9,0.9959183673469388,0.9710034013605442,0.9830392577151412,48.2
