Lower Case,Remove Stop Words,Stem,Test Size,Max Features,N-gram Range,TF,IDF,TFIDF,Accuracy,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support
True,False,False,0.3,1000,(1 3),True,False,False,96.15384615384616,0.9894259818731118,0.9562043795620438,0.9725315515961397,685,0.8789237668161435,0.8558951965065502,0.8672566371681415,229,0.858139534883721,0.9710526315789474,0.9111111111111111,380,0.75,0.5454545454545454,0.631578947368421,11,0.9930555555555556,1.0,0.9965156794425087,429,0.998546511627907,1.0,0.9992727272727273,687,0.9807692307692307,0.8225806451612904,0.8947368421052632,124
True,False,False,0.3,1000,(1 3),False,False,True,96.37789395070948,0.9969879518072289,0.9566473988439307,0.976401179941003,692,0.8908296943231441,0.8429752066115702,0.8662420382165605,242,0.8669623059866962,0.9702233250620348,0.9156908665105387,403,0.7777777777777778,0.7777777777777778,0.7777777777777778,9,0.9955056179775281,1.0,0.9977477477477478,443,1.0,1.0,1.0,651,0.944954128440367,0.8803418803418803,0.911504424778761,117
True,False,False,0.3,5000,(1 1),False,False,False,96.48991784914115,0.987987987987988,0.9619883040935673,0.9748148148148148,684,0.9209302325581395,0.8608695652173913,0.8898876404494381,230,0.8587962962962963,0.973753280839895,0.9126691266912669,381,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,0.9953379953379954,1.0,0.9976635514018692,427,1.0,1.0,1.0,698,0.9532710280373832,0.8095238095238095,0.8755364806866953,126
True,False,False,0.3,5000,(1 1),True,False,False,96.48991784914115,0.9924471299093656,0.9577259475218659,0.9747774480712166,686,0.8851063829787233,0.8813559322033898,0.8832271762208068,236,0.8758620689655172,0.9694656488549618,0.9202898550724637,393,1.0,0.75,0.8571428571428571,4,0.9931192660550459,0.9976958525345622,0.9954022988505747,434,1.0,1.0,1.0,684,0.9523809523809523,0.819672131147541,0.8810572687224669,122
True,False,False,0.3,5000,(1 1),False,False,True,96.11650485436894,0.9851411589895989,0.9650655021834061,0.9750000000000001,687,0.95,0.8461538461538461,0.8950749464668094,247,0.837471783295711,0.9814814814814815,0.9037758830694275,378,0.6363636363636364,0.7,0.6666666666666666,10,0.9977578475336323,0.9977578475336323,0.9977578475336323,446,1.0,1.0,1.0,680,0.9411764705882353,0.7559055118110236,0.8384279475982532,127
True,False,False,0.3,5000,(1 2),False,False,False,96.00448095593727,0.9899856938483548,0.9611111111111111,0.9753347427766033,720,0.902127659574468,0.8514056224899599,0.8760330578512397,249,0.8365384615384616,0.9720670391061452,0.8992248062015504,358,0.6,0.5,0.5454545454545454,6,0.9928909952606635,0.9976190476190476,0.995249406175772,420,0.9985590778097982,1.0,0.9992790194664743,693,0.970873786407767,0.7874015748031497,0.8695652173913044,127
True,False,False,0.3,5000,(1 2),True,False,False,96.11650485436894,0.9856938483547926,0.9582753824756607,0.9717912552891397,719,0.8908296943231441,0.8464730290456431,0.8680851063829786,241,0.8564593301435407,0.9701897018970189,0.9097839898348157,369,0.7272727272727273,0.8,0.761904761904762,10,0.9975669099756691,1.0,0.9987819732034106,410,0.9985569985569985,1.0,0.9992779783393501,692,0.9619047619047619,0.8145161290322581,0.8820960698689957,124
True,False,False,0.3,5000,(1 2),False,False,True,96.71396564600448,0.9941089837997055,0.9698275862068966,0.9818181818181818,696,0.9322033898305084,0.859375,0.8943089430894309,256,0.8591885441527446,0.9836065573770492,0.9171974522292994,366,0.6666666666666666,0.8,0.7272727272727272,10,0.9956427015250545,0.9978165938864629,0.9967284623773173,458,1.0,1.0,1.0,663,0.970873786407767,0.819672131147541,0.888888888888889,122
True,False,False,0.3,5000,(1 3),False,False,False,96.48991784914115,0.9855072463768116,0.9672830725462305,0.9763101220387653,703,0.8940092165898618,0.8398268398268398,0.8660714285714285,231,0.8694638694638694,0.9738903394255874,0.91871921182266,383,1.0,0.8,0.888888888888889,5,0.9977528089887641,0.9977528089887641,0.9977528089887641,445,1.0,1.0,1.0,678,0.9591836734693877,0.8103448275862069,0.8785046728971961,116
True,False,False,0.3,5000,(1 3),True,False,False,96.26587005227782,0.9952978056426333,0.9548872180451128,0.9746738296239447,665,0.9012875536480687,0.8536585365853658,0.8768267223382047,246,0.8602620087336245,0.9728395061728395,0.9130938586326767,405,0.5714285714285714,0.5714285714285714,0.5714285714285714,7,0.9977924944812362,0.9977924944812362,0.9977924944812362,453,0.9984894259818731,0.9984894259818731,0.9984894259818731,662,0.9572649572649573,0.8615384615384616,0.9068825910931174,130
True,False,False,0.3,5000,(1 3),False,False,True,96.56460044809559,0.9900826446280991,0.9492868462757528,0.9692556634304207,631,0.9210526315789473,0.8786610878661087,0.8993576017130621,239,0.856492027334852,0.9868766404199475,0.9170731707317074,381,0.8181818181818182,0.8181818181818182,0.8181818181818182,11,1.0,1.0,1.0,434,1.0,1.0,1.0,711,0.9747899159663865,0.8345323741007195,0.8992248062015504,139
True,False,False,0.35,1000,(1 1),False,False,False,96.4152352501867,0.9881831610044313,0.9598278335724534,0.9737991266375545,697,0.9097744360902256,0.8768115942028986,0.8929889298892988,276,0.8685446009389671,0.9788359788359788,0.9203980099502487,378,0.6666666666666666,0.6666666666666666,0.6666666666666666,9,0.9953596287703016,0.9976744186046511,0.9965156794425087,430,1.0,1.0,1.0,656,0.9666666666666667,0.7981651376146789,0.8743718592964824,109
True,False,False,0.35,1000,(1 1),True,False,False,95.96713965646005,0.9910581222056631,0.9568345323741008,0.9736456808199122,695,0.9013452914798207,0.8237704918032787,0.860813704496788,244,0.8470319634703196,0.9840848806366048,0.9104294478527607,377,0.8571428571428571,0.75,0.7999999999999999,8,0.9908466819221968,1.0,0.9954022988505747,433,1.0,1.0,1.0,665,0.9292035398230089,0.7954545454545454,0.8571428571428572,132
True,False,False,0.35,1000,(1 1),False,False,True,96.37789395070948,0.9904610492845787,0.9584615384615385,0.9741985926505082,650,0.9152542372881356,0.8470588235294118,0.8798370672097761,255,0.8558352402745996,0.9790575916230366,0.9133089133089134,382,0.875,0.7,0.7777777777777777,10,0.9908466819221968,1.0,0.9954022988505747,433,1.0,1.0,1.0,689,0.9711538461538461,0.8347107438016529,0.8977777777777778,121
True,False,False,0.35,1000,(1 2),False,False,False,95.92979835698281,0.9910179640718563,0.9594202898550724,0.9749631811487481,690,0.8916666666666667,0.8359375,0.8629032258064517,256,0.8321342925659473,0.9638888888888889,0.8931788931788932,360,0.8571428571428571,0.75,0.7999999999999999,8,1.0,1.0,1.0,431,1.0,1.0,1.0,647,0.9534883720930233,0.8367346938775511,0.8913043478260869,147
