Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
FALSE,TRUE,FALSE,1000,(1 1),FALSE,TRUE,94.85635548,0.902437513,0.857847059,0.871040286,0.97069377,0.949386861,0.959849764,274.7,0.831470677,0.885600907,0.85687676,98.8,0.88057499,0.924675325,0.90185365,154,0.733333333,0.425,0.515238095,3.3,0.995966815,0.998252414,0.997096311,171.7,0.999632353,0.999260626,0.999445466,270.6,0.811828167,0.699265306,0.749477211,49.9,0.996,0.981335034,0.988485033,48.2
FALSE,TRUE,FALSE,1000,(1 2),FALSE,FALSE,95.16433066,0.87980569,0.887181901,0.88040593,0.972033756,0.949025879,0.960377137,274.7,0.820334582,0.927107813,0.870308766,98.8,0.916367493,0.92987013,0.922987266,154,0.541666667,0.658333333,0.587301587,3.3,0.995398786,0.999418605,0.997391275,171.7,0.999264706,0.998891622,0.999076461,270.6,0.797379531,0.651346939,0.716245577,49.9,0.996,0.983460884,0.989559368,48.2
FALSE,TRUE,FALSE,1000,(1 2),TRUE,FALSE,94.74420614,0.872470499,0.864525202,0.862819663,0.970045064,0.954124751,0.96200845,274.7,0.821131868,0.887682952,0.852429605,98.8,0.899677197,0.917532468,0.908246473,154,0.55,0.516666667,0.494761905,3.3,0.99884057,0.998833809,0.998833799,171.7,1,0.999260626,0.999629628,270.6,0.752450692,0.675306122,0.709908982,49.9,0.987618604,0.966794218,0.976738464,48.2
FALSE,TRUE,FALSE,1000,(1 2),FALSE,TRUE,94.50158173,0.893361279,0.85831723,0.865802232,0.973603755,0.951211679,0.96224367,274.7,0.826992827,0.878468357,0.850422374,98.8,0.866231119,0.914285714,0.889148055,154,0.718333333,0.491666667,0.535,3.3,0.998259175,0.999418605,0.998835509,171.7,1,0.999260626,0.999629628,270.6,0.775929316,0.661265306,0.712154015,49.9,0.987540708,0.970960884,0.978984603,48.2
FALSE,TRUE,FALSE,1000,(1 3),FALSE,FALSE,95.0336117,0.877195946,0.878775324,0.873904015,0.971202557,0.943933643,0.957340527,274.7,0.806188822,0.925046382,0.86133148,98.8,0.918746378,0.930519481,0.924479321,154,0.527857143,0.591666667,0.540952381,3.3,0.995398786,0.999418605,0.997391275,171.7,1,0.998891622,0.999444785,270.6,0.802173881,0.657265306,0.720732978,49.9,0.996,0.983460884,0.989559368,48.2
FALSE,TRUE,FALSE,1000,(1 3),TRUE,FALSE,94.67887279,0.867413232,0.866274443,0.86337159,0.968164065,0.949385534,0.958628757,274.7,0.814608423,0.894702123,0.851990817,98.8,0.903102854,0.911038961,0.906847695,154,0.51,0.516666667,0.493095238,3.3,0.998255775,0.998833809,0.998542259,171.7,1,0.999260626,0.999629628,270.6,0.757556134,0.689346939,0.719278151,49.9,0.987618604,0.970960884,0.978960171,48.2
FALSE,TRUE,FALSE,1000,(1 3),FALSE,TRUE,94.2400393,0.869219934,0.861215559,0.862843185,0.966744444,0.948294625,0.957343686,274.7,0.816404364,0.869387755,0.84081217,98.8,0.87902041,0.905844156,0.891984835,154,0.566666667,0.533333333,0.537142857,3.3,0.997684501,0.999418605,0.998545659,171.7,1,0.999260626,0.999629628,270.6,0.739415768,0.66322449,0.698238762,49.9,0.987823321,0.970960884,0.979047881,48.2
FALSE,TRUE,TRUE,1000,(1 1),FALSE,FALSE,94.81895495,0.884956108,0.883104135,0.879470121,0.960514878,0.940286662,0.950143328,274.7,0.798312348,0.906864564,0.848547386,98.8,0.916877419,0.935064935,0.925776923,154,0.575,0.65,0.594761905,3.3,0.995940315,0.998833809,0.997382859,171.7,0.999264706,0.998890256,0.999075775,270.6,0.843780015,0.647265306,0.731479903,49.9,0.989959184,0.987627551,0.988592887,48.2
FALSE,TRUE,TRUE,1000,(1 1),TRUE,FALSE,94.61362655,0.894136381,0.876050301,0.878746874,0.957809796,0.947936297,0.952779503,274.7,0.834217882,0.861379097,0.847176321,98.8,0.891486542,0.922727273,0.906466437,154,0.7,0.6,0.604285714,3.3,0.99710971,0.998833809,0.997964229,171.7,0.999632353,0.999260626,0.999445466,270.6,0.780918096,0.707346939,0.740790157,49.9,0.991916667,0.970918367,0.981067165,48.2
FALSE,TRUE,TRUE,1000,(1 1),FALSE,TRUE,94.16546469,0.902794172,0.865991315,0.877291856,0.957865323,0.941019244,0.949293578,274.7,0.813871993,0.868449804,0.839593919,98.8,0.873940688,0.909090909,0.890868682,154,0.791666667,0.558333333,0.626190476,3.3,0.995966815,0.998252414,0.997096311,171.7,0.998895702,0.998890256,0.998890933,270.6,0.796623731,0.687142857,0.736536997,49.9,0.993522459,0.966751701,0.979863951,48.2
FALSE,TRUE,TRUE,1000,(1 2),FALSE,FALSE,94.64153323,0.874931891,0.879352209,0.87190393,0.959432658,0.943928334,0.951542943,274.7,0.808011307,0.892651,0.848007601,98.8,0.90909988,0.933116883,0.920827974,154,0.52952381,0.658333333,0.567857143,3.3,0.995976821,0.999418605,0.99768113,171.7,0.998530749,0.998891622,0.998708133,270.6,0.804963237,0.629183673,0.704251023,49.9,0.993916667,0.979294218,0.986355492,48.2
