Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional Precision,Functional Recall,Functional F1-Score,Functional Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
TRUE,FALSE,FALSE,1000,(1 2),FALSE,FALSE,97.48887739,0.896407856,0.884454589,0.881289542,0.97013984,0.983320036,0.976651448,527.5,0.6,0.658333333,0.584285714,3.3,0.995947036,0.999418605,0.997677779,171.7,0.99962963,0.998890256,0.999259258,270.6,0.816812264,0.681306122,0.739316419,49.9,0.995918367,0.985459184,0.990546634,48.2
TRUE,FALSE,FALSE,1000,(1 2),TRUE,FALSE,97.60086124,0.920386114,0.899297143,0.90196568,0.97139802,0.983885702,0.977586325,527.5,0.755,0.733333333,0.701984127,3.3,0.997684384,0.998833809,0.99825408,171.7,1,0.999260626,0.999629628,270.6,0.806399247,0.705469388,0.751257662,49.9,0.991835034,0.975,0.983082255,48.2
TRUE,FALSE,FALSE,1000,(1 2),FALSE,TRUE,97.40487862,0.9178731,0.874015932,0.886211652,0.96784005,0.98294017,0.975271481,527.5,0.742857143,0.608333333,0.629761905,3.3,0.99768114,0.999418605,0.998545654,171.7,0.999630996,0.999260626,0.999444785,270.6,0.80760693,0.681183673,0.732213029,49.9,0.99162234,0.972959184,0.98203306,48.2
TRUE,FALSE,FALSE,1000,(1 3),FALSE,FALSE,97.46086619,0.879832009,0.87946001,0.872912208,0.970659797,0.982561742,0.976544164,527.5,0.51,0.625,0.535396825,3.3,0.996525071,0.999418605,0.997967634,171.7,0.99962963,0.998890256,0.999259258,270.6,0.806259188,0.683346939,0.736683706,49.9,0.995918367,0.987542517,0.991621662,48.2
TRUE,FALSE,FALSE,1000,(1 3),TRUE,FALSE,97.47016842,0.918178183,0.8982687,0.901517928,0.970960159,0.981421065,0.976146814,527.5,0.765,0.733333333,0.712698413,3.3,0.997687784,0.999418605,0.99854733,171.7,1,0.999260626,0.999629628,270.6,0.78358612,0.707428571,0.742277464,49.9,0.991835034,0.96875,0.979807916,48.2
TRUE,FALSE,FALSE,1000,(1 3),FALSE,TRUE,97.49822317,0.913553124,0.872964034,0.886065107,0.9678855,0.984836266,0.976230948,527.5,0.7,0.6,0.621190476,3.3,0.998259175,0.999418605,0.998835509,171.7,0.999630996,0.999260626,0.999444785,270.6,0.827799785,0.677142857,0.738481434,49.9,0.987743289,0.97712585,0.982207485,48.2
TRUE,FALSE,TRUE,1000,(1 1),FALSE,FALSE,97.57289359,0.886812487,0.889603869,0.883780062,0.97334421,0.981804525,0.977540999,527.5,0.546666667,0.658333333,0.582380952,3.3,0.994820751,0.999418605,0.997103086,171.7,0.998532105,0.999260626,0.998893657,270.6,0.817517694,0.713346939,0.759245122,49.9,0.989993497,0.985459184,0.987516557,48.2
TRUE,FALSE,TRUE,1000,(1 1),TRUE,FALSE,97.73161503,0.929851288,0.892105652,0.903275211,0.972701995,0.985027097,0.978803436,527.5,0.791666667,0.666666667,0.688333333,3.3,0.997677544,0.997664219,0.997665859,171.7,0.998533452,0.999260626,0.99889298,270.6,0.826691336,0.735265306,0.776144829,49.9,0.991836735,0.96875,0.97981083,48.2
TRUE,FALSE,TRUE,1000,(1 1),FALSE,TRUE,97.58226549,0.92368582,0.881235437,0.892545638,0.972121396,0.98313172,0.977560562,527.5,0.7625,0.608333333,0.632402597,3.3,0.99537858,0.997082823,0.99621823,171.7,0.998529382,0.998890256,0.998707449,270.6,0.819794856,0.73122449,0.769471738,49.9,0.993790708,0.96875,0.980913254,48.2
TRUE,FALSE,TRUE,1000,(1 2),FALSE,FALSE,97.5075254,0.907091176,0.879583317,0.888006753,0.969965223,0.983509071,0.976653615,527.5,0.675,0.625,0.626666667,3.3,0.995950397,0.999418605,0.997677784,171.7,1,0.998890256,0.9994441,270.6,0.805713067,0.687306122,0.738126745,49.9,0.995918367,0.98337585,0.989471606,48.2
