Lower Case,Remove Stop Words,Stem,Test Size,Max Features,N-gram Range,TF,IDF,TFIDF,Accuracy,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support
True,False,False,0.3,1000,(1 3),False,False,False,94.47348767737117,0.9681335356600911,0.9451851851851852,0.9565217391304349,675,0.8571428571428571,0.7933884297520661,0.8240343347639485,242,0.8392070484581498,0.957286432160804,0.8943661971830985,398,0.6,0.5,0.5454545454545454,6,0.9904988123515439,1.0,0.9952267303102625,417,0.9985486211901307,0.9985486211901307,0.9985486211901307,689,0.8686868686868687,0.688,0.7678571428571429,125
True,False,False,0.3,1000,(1 3),True,False,False,93.35324869305451,0.9461077844311377,0.9294117647058824,0.9376854599406529,680,0.8303571428571429,0.7591836734693878,0.7931769722814499,245,0.8222748815165877,0.9155672823218998,0.8664169787765293,379,0.5,0.7142857142857143,0.588235294117647,7,0.9861751152073732,1.0,0.9930394431554525,428,1.0,0.9985549132947977,0.9992769342010123,692,0.8144329896907216,0.6869565217391305,0.7452830188679246,115
True,False,False,0.3,1000,(1 3),False,False,True,93.27856609410009,0.9479166666666666,0.9437037037037037,0.9458054936896807,675,0.8262548262548263,0.8014981273408239,0.8136882129277566,267,0.8384074941451991,0.9063291139240506,0.8710462287104622,395,0.5555555555555556,0.7142857142857143,0.6250000000000001,7,0.9834123222748815,1.0,0.9916367980884111,415,0.9969650986342944,1.0,0.9984802431610942,657,0.85,0.68,0.7555555555555556,150
True,False,False,0.3,5000,(1 1),False,False,False,94.1747572815534,0.9731437598736177,0.9565217391304348,0.9647611589663273,644,0.8325991189427313,0.7777777777777778,0.8042553191489362,243,0.8428571428571429,0.9076923076923077,0.8740740740740741,390,0.6666666666666666,0.8571428571428571,0.75,7,0.9914163090128756,1.0,0.9956896551724138,462,1.0,0.9985693848354793,0.9992841803865427,699,0.7545454545454545,0.6974789915966386,0.7248908296943231,119
True,False,False,0.3,5000,(1 1),True,False,False,94.06273338312174,0.9620637329286799,0.9476831091180867,0.9548192771084337,669,0.8200836820083682,0.8,0.8099173553719009,245,0.8369829683698297,0.9247311827956989,0.8786717752234993,372,0.8888888888888888,0.6666666666666666,0.761904761904762,12,0.9885321100917431,1.0,0.9942329873125721,431,1.0,0.9985611510791367,0.9992800575953923,695,0.8392857142857143,0.7014925373134329,0.7642276422764228,134
True,False,False,0.3,5000,(1 1),False,False,True,93.46527259148618,0.9620060790273556,0.9391691394658753,0.9504504504504504,674,0.7942386831275721,0.7877551020408163,0.7909836065573771,245,0.8393285371702638,0.8838383838383839,0.8610086100861009,396,0.5714285714285714,0.6666666666666666,0.6153846153846153,6,0.9932432432432432,0.997737556561086,0.9954853273137697,442,1.0,1.0,1.0,690,0.7476635514018691,0.7079646017699115,0.7272727272727274,113
True,False,False,0.3,5000,(1 2),False,False,False,94.10007468259896,0.9574155653450808,0.9588235294117647,0.9581190301249082,680,0.8278688524590164,0.7799227799227799,0.8031809145129225,259,0.8329297820823245,0.9197860962566845,0.8742058449809403,374,1.0,0.5714285714285714,0.7272727272727273,7,0.9954441913439636,1.0,0.997716894977169,437,0.9970238095238095,1.0,0.9985096870342772,670,0.8807339449541285,0.7111111111111111,0.7868852459016393,135
True,False,False,0.3,5000,(1 2),True,False,False,93.95070948469007,0.9552906110283159,0.9412628487518355,0.9482248520710058,681,0.8433179723502304,0.7593360995850622,0.7991266375545851,241,0.8428571428571429,0.9242819843342036,0.8816936488169365,383,0.9,0.75,0.8181818181818182,12,0.9808612440191388,0.9975669099756691,0.9891435464414957,411,1.0,0.9985754985754985,0.9992872416250891,702,0.8035714285714286,0.75,0.7758620689655172,120
True,False,False,0.3,5000,(1 2),False,False,True,93.3159073935773,0.9648854961832061,0.930780559646539,0.9475262368815592,679,0.7932489451476793,0.8103448275862069,0.8017057569296374,232,0.806930693069307,0.8980716253443526,0.8500651890482399,363,0.4166666666666667,0.5,0.45454545454545453,10,0.9932735426008968,1.0,0.9966254218222722,443,1.0,0.9985380116959064,0.9992684711046086,684,0.819047619047619,0.6615384615384615,0.7319148936170211,130
True,False,False,0.3,5000,(1 3),False,False,False,93.80134428678119,0.9484978540772532,0.9498567335243553,0.9491768074445239,698,0.8237704918032787,0.7760617760617761,0.7992047713717695,259,0.8571428571428571,0.9076923076923077,0.8816936488169363,390,0.6,0.6,0.6,10,0.9926829268292683,1.0,0.996328029375765,407,1.0,0.9985358711566618,0.9992673992673992,683,0.8018867924528302,0.7391304347826086,0.7692307692307693,115
True,False,False,0.3,5000,(1 3),True,False,False,92.86781179985063,0.953030303030303,0.9487179487179487,0.9508692365835223,663,0.8040816326530612,0.7975708502024291,0.8008130081300813,247,0.7966507177033493,0.8786279683377308,0.835633626097867,379,0.5,0.5,0.5,6,0.9928571428571429,1.0,0.996415770609319,417,1.0,1.0,1.0,679,0.8205128205128205,0.631578947368421,0.7137546468401488,152
True,False,False,0.3,5000,(1 3),False,False,True,93.80134428678119,0.9600614439324117,0.9328358208955224,0.9462528387585163,670,0.824,0.8408163265306122,0.8323232323232322,245,0.8412322274881516,0.9268929503916449,0.8819875776397514,383,0.45454545454545453,0.7142857142857143,0.5555555555555556,7,0.9930394431554525,1.0,0.9965075669383004,428,0.9956268221574344,0.9985380116959064,0.997080291970803,684,0.826530612244898,0.627906976744186,0.7136563876651982,129
True,False,False,0.35,1000,(1 1),False,False,False,94.39880507841673,0.9775784753363229,0.9519650655021834,0.9646017699115046,687,0.8341013824884793,0.7869565217391304,0.8098434004474274,230,0.8164705882352942,0.9228723404255319,0.8664169787765293,376,0.7,1.0,0.8235294117647058,7,0.9930232558139535,0.9976635514018691,0.9953379953379954,428,1.0,0.998589562764457,0.9992942836979535,709,0.8623853211009175,0.7175572519083969,0.7833333333333333,131
True,False,False,0.35,1000,(1 1),True,False,False,93.80134428678119,0.9651162790697675,0.9581529581529582,0.9616220130340333,693,0.8326180257510729,0.782258064516129,0.8066528066528066,248,0.8205741626794258,0.9074074074074074,0.8618090452261307,378,0.6666666666666666,0.4,0.5,5,0.9954441913439636,1.0,0.997716894977169,437,0.9985074626865672,0.9985074626865672,0.9985074626865672,670,0.8048780487804879,0.6971830985915493,0.7471698113207547,142
