Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Accuracy,Functional Precision,Functional Recall,Functional F1-Score,Functional Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
TRUE,TRUE,FALSE,1000,(1-2),FALSE,TRUE,86.22114393,0.986171877,0.763755265,0.860705591,527.5,0.511190476,0.468333333,0.48047619,3.3,0.992792057,0.996886327,0.994793571,171.7,1,0.960020393,0.979581278,270.6,0.323350461,0.834553079,0.464510802,49.9,0.473235678,0.9632591,0.633721081,48.2
TRUE,TRUE,FALSE,1000,(1-2),TRUE,FALSE,86.22114393,0.986171877,0.763755265,0.860705591,527.5,0.511190476,0.468333333,0.48047619,3.3,0.992792057,0.996886327,0.994793571,171.7,1,0.960020393,0.979581278,270.6,0.323350461,0.834553079,0.464510802,49.9,0.473235678,0.9632591,0.633721081,48.2
TRUE,TRUE,FALSE,1000,(1-3),FALSE,FALSE,81.36670464,0.991504454,0.693893297,0.816225305,527.5,0.3495671,0.518333333,0.382262392,3.3,0.994234662,0.998076299,0.996146673,171.7,1,0.895930959,0.945000801,270.6,0.245500738,0.8602513,0.380809752,49.9,0.449556206,0.967342433,0.612985315,48.2
TRUE,TRUE,FALSE,1000,(1-3),TRUE,TRUE,81.36670464,0.991504454,0.693893297,0.816225305,527.5,0.3495671,0.518333333,0.382262392,3.3,0.994234662,0.998076299,0.996146673,171.7,1,0.895930959,0.945000801,270.6,0.245500738,0.8602513,0.380809752,49.9,0.449556206,0.967342433,0.612985315,48.2
TRUE,TRUE,FALSE,1000,(1-3),FALSE,TRUE,81.36670464,0.991504454,0.693893297,0.816225305,527.5,0.3495671,0.518333333,0.382262392,3.3,0.994234662,0.998076299,0.996146673,171.7,1,0.895930959,0.945000801,270.6,0.245500738,0.8602513,0.380809752,49.9,0.449556206,0.967342433,0.612985315,48.2
TRUE,TRUE,FALSE,1000,(1-3),TRUE,FALSE,81.36670464,0.991504454,0.693893297,0.816225305,527.5,0.3495671,0.518333333,0.382262392,3.3,0.994234662,0.998076299,0.996146673,171.7,1,0.895930959,0.945000801,270.6,0.245500738,0.8602513,0.380809752,49.9,0.449556206,0.967342433,0.612985315,48.2
TRUE,TRUE,FALSE,5000,(1-1),FALSE,FALSE,96.04179732,0.962850756,0.96888929,0.965822753,527.5,0.583809524,0.656666667,0.594502165,3.3,0.996515436,0.992327055,0.99441193,171.7,1,0.995706327,0.997846237,270.6,0.670862225,0.651625899,0.658709243,49.9,0.901759562,0.892638631,0.896722732,48.2
TRUE,TRUE,FALSE,5000,(1-1),TRUE,TRUE,96.04179732,0.962850756,0.96888929,0.965822753,527.5,0.583809524,0.656666667,0.594502165,3.3,0.996515436,0.992327055,0.99441193,171.7,1,0.995706327,0.997846237,270.6,0.670862225,0.651625899,0.658709243,49.9,0.901759562,0.892638631,0.896722732,48.2
TRUE,TRUE,FALSE,5000,(1-1),FALSE,TRUE,96.04179732,0.962850756,0.96888929,0.965822753,527.5,0.583809524,0.656666667,0.594502165,3.3,0.996515436,0.992327055,0.99441193,171.7,1,0.995706327,0.997846237,270.6,0.670862225,0.651625899,0.658709243,49.9,0.901759562,0.892638631,0.896722732,48.2
TRUE,TRUE,FALSE,5000,(1-1),TRUE,FALSE,96.04179732,0.962850756,0.96888929,0.965822753,527.5,0.583809524,0.656666667,0.594502165,3.3,0.996515436,0.992327055,0.99441193,171.7,1,0.995706327,0.997846237,270.6,0.670862225,0.651625899,0.658709243,49.9,0.901759562,0.892638631,0.896722732,48.2
TRUE,TRUE,FALSE,5000,(1-2),FALSE,FALSE,93.3065241,0.971091804,0.903990904,0.93631904,527.5,0.691666667,0.433333333,0.516666667,3.3,0.990799728,0.995783989,0.993273642,171.7,1,0.990863277,0.995407088,270.6,0.547730552,0.73476032,0.626434571,49.9,0.645547297,0.941462087,0.765084723,48.2
TRUE,TRUE,FALSE,5000,(1-2),TRUE,TRUE,93.3065241,0.971091804,0.903990904,0.93631904,527.5,0.691666667,0.433333333,0.516666667,3.3,0.990799728,0.995783989,0.993273642,171.7,1,0.990863277,0.995407088,270.6,0.547730552,0.73476032,0.626434571,49.9,0.645547297,0.941462087,0.765084723,48.2
TRUE,TRUE,FALSE,5000,(1-2),FALSE,TRUE,93.3065241,0.971091804,0.903990904,0.93631904,527.5,0.691666667,0.433333333,0.516666667,3.3,0.990799728,0.995783989,0.993273642,171.7,1,0.990863277,0.995407088,270.6,0.547730552,0.73476032,0.626434571,49.9,0.645547297,0.941462087,0.765084723,48.2
TRUE,TRUE,FALSE,5000,(1-2),TRUE,FALSE,93.3065241,0.971091804,0.903990904,0.93631904,527.5,0.691666667,0.433333333,0.516666667,3.3,0.990799728,0.995783989,0.993273642,171.7,1,0.990863277,0.995407088,270.6,0.547730552,0.73476032,0.626434571,49.9,0.645547297,0.941462087,0.765084723,48.2
TRUE,TRUE,FALSE,5000,(1-3),FALSE,FALSE,90.09516493,0.978009089,0.841948679,0.904849481,527.5,0.358571429,0.383333333,0.350793651,3.3,0.99609138,0.997451299,0.996746918,171.7,1,0.972126616,0.985840286,270.6,0.386857477,0.79724603,0.519541166,49.9,0.602079364,0.939192816,0.732762356,48.2
TRUE,TRUE,FALSE,5000,(1-3),TRUE,TRUE,90.09516493,0.978009089,0.841948679,0.904849481,527.5,0.358571429,0.383333333,0.350793651,3.3,0.99609138,0.997451299,0.996746918,171.7,1,0.972126616,0.985840286,270.6,0.386857477,0.79724603,0.519541166,49.9,0.602079364,0.939192816,0.732762356,48.2
TRUE,TRUE,FALSE,5000,(1-3),FALSE,TRUE,90.09516493,0.978009089,0.841948679,0.904849481,527.5,0.358571429,0.383333333,0.350793651,3.3,0.99609138,0.997451299,0.996746918,171.7,1,0.972126616,0.985840286,270.6,0.386857477,0.79724603,0.519541166,49.9,0.602079364,0.939192816,0.732762356,48.2
