Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,alpha, F1score, accu ,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo-Support
True,False,False,1000,"(1, 1)",False,True,2,73.26642865783126,87.7239154368215,0.745229292372496,0.9787356732075146,0.8459535884848732,274.7,0.831187680749619,0.6347906963676803,0.7185876561440665,98.8,0.8765447217106486,0.6569090278906183,0.7488802766425735,154.0,0.0,0.0,0.0,3.3,0.9948381058802915,0.9981669901327723,0.9964927952485179,171.7,0.9861279915791027,0.9852044796871278,0.9855624342900514,270.6,0.8802586579531552,0.5683428594838996,0.6831200495539116,49.9,0.9100069919045266,0.8577948684715692,0.8827174922625074,48.2
True,False,False,1000,"(1, 1)",False,True,1,74.97146205526761,88.9842018897111,0.7831739838782592,0.9711123944361001,0.8668598614247482,274.7,0.8127011643712573,0.6916125148512197,0.746334514868063,98.8,0.894123762914726,0.6734121261618653,0.7670093294098727,154.0,0.0,0.0,0.0,3.3,0.996549742237988,0.9981669901327723,0.9973494978384421,171.7,0.9871831463005861,0.9852044796871278,0.9860850713420808,270.6,0.8196916116464988,0.6674380505357251,0.7307191441968204,49.9,0.9016230211450047,0.9066176876746297,0.9033595453413813,48.2
True,False,False,1000,"(1, 1)",False,True,0.5,75.37773316081623,89.3575365469571,0.8014580934767359,0.963868599690144,0.8749545610820191,274.7,0.8161056012044539,0.7107510628007815,0.758987234347828,98.8,0.8996884573511211,0.673934626467038,0.7694031778183184,154.0,0.0,0.0,0.0,3.3,0.996549742237988,0.9981669901327723,0.9973494978384421,171.7,0.9875507833102896,0.9852044796871278,0.9862665338353349,270.6,0.7698325722106383,0.7275097974629612,0.7436472401564849,49.9,0.8790156303570187,0.9228093218512807,0.8996104077868716,48.2
True,False,False,1000,"(1, 1)",False,True,0.25,78.27654710680123,89.33887983053918,0.8073590330992877,0.9598722977148991,0.8768039199731469,274.7,0.8163651892189151,0.7135399841737157,0.7605108123007358,98.8,0.8968414232841615,0.6652493464342454,0.7627149573905314,154.0,0.22833333333333333,0.23333333333333334,0.21252747252747253,3.3,0.9965454981160967,0.9975176394834216,0.9970216497907243,171.7,0.9875528779898035,0.9858517288780663,0.9865912066096898,270.6,0.7435639579196583,0.7394608777836067,0.737213527758856,49.9,0.9273834767061269,0.9316014756315575,0.9287402221929408,48.2
True,False,False,1000,"(1, 1)",False,True,0.1,80.41744007666202,89.46959878478755,0.8118255717262188,0.9562610133960598,0.877888581096899,274.7,0.8120512328732407,0.7203371316539383,0.7621108736381786,98.8,0.8888678035237151,0.6594889063824615,0.7559655167966558,154.0,0.61,0.3383333333333333,0.39705128205128204,3.3,0.99653974801547,0.996977098942881,0.9967506588623992,171.7,0.9876831024451794,0.9956635430268062,0.9915356134636324,270.6,0.7231609200151833,0.7382490340717631,0.7268469258629192,49.9,0.9250591122797006,0.9270588566204617,0.9252457543609959,48.2
True,False,False,1000,"(1, 2)",False,False,2,78.05841704929836,88.86277645386512,0.8821805387152049,0.9233887150160328,0.9020254411245601,274.7,0.7206138824571637,0.830324285611822,0.7701024579940218,98.8,0.9367232922218414,0.6005966321155759,0.7308704933505827,154.0,0.2201465201465201,0.3866666666666666,0.2676262626262626,3.3,0.9761750767915581,0.9981669901327723,0.9870112804939236,171.7,0.9823866018731298,0.9793035974495305,0.9806889714827601,270.6,0.5762301766334025,0.8139315845938959,0.6729168839389948,49.9,0.9165428929736616,0.952446430990664,0.9334315729327614,48.2
True,False,False,1000,"(1, 2)",False,False,1,79.34514710690328,89.27355519322158,0.8861777156781852,0.9261406879654428,0.9054436058967397,274.7,0.7181581998331212,0.8356421729132029,0.7706606531632622,98.8,0.9364790040962993,0.6005081459861931,0.7307052868392634,154.0,0.3568131868131868,0.44666666666666666,0.3640476190476191,3.3,0.9948679394628865,0.9981669901327723,0.9965062088196813,171.7,0.9825756657390368,0.9904425387822414,0.986322670468461,270.6,0.5845357131773804,0.8111950641899511,0.6768980269679281,49.9,0.8857437689663603,0.9524827154609105,0.9170276973493087,48.2
True,False,False,1000,"(1, 2)",False,False,0.5,80.06749972054371,89.38561743105203,0.8863491521952718,0.9247326054210305,0.9048659032519332,274.7,0.719154373234353,0.8348497434829939,0.7708285533943106,98.8,0.9375126143120298,0.6011366365904841,0.7314560878776633,154.0,0.38499999999999995,0.5216666666666666,0.42757020757020764,3.3,0.9953967650981687,0.9981669901327723,0.996771342421577,171.7,0.9831274141833509,0.9970950361823145,0.9899122568152483,270.6,0.5822630842462475,0.8043939384863863,0.6729451095818083,49.9,0.8763422900989373,0.9500262449675366,0.9110505167307485,48.2
True,False,False,1000,"(1, 2)",False,False,0.25,80.38927992666862,89.40430027732486,0.8869192101586197,0.9232535291291013,0.9044090354672114,274.7,0.7154052063656527,0.8329213843086076,0.7678626588858579,98.8,0.9359673972086192,0.6030598705635344,0.7323784767219109,154.0,0.4072222222222222,0.5416666666666667,0.45015873015873015,3.3,0.9953967650981687,0.9981669901327723,0.996771342421577,171.7,0.9827778905101422,0.9974599996859641,0.9899205737265643,270.6,0.5875662308770074,0.8043939384863863,0.6765249303400254,49.9,0.8748659905517784,0.9557968986571692,0.913116646411613,48.2
True,False,False,1000,"(1, 2)",False,False,0.1,80.6959821411344,89.48829034101203,0.8868929360006511,0.9255245121492077,0.9054635191231768,274.7,0.7182133992854797,0.829613894857131,0.768159326670215,98.8,0.9352223153086647,0.6037216941951178,0.7325204860133645,154.0,0.43499999999999994,0.5416666666666667,0.46963924963924963,3.3,0.9953925209762776,0.9975176394834216,0.9964434943738592,171.7,0.9827890101325693,0.9985163377141333,0.990453387241834,270.6,0.5920435234436112,0.8086403157988012,0.680998128080099,49.9,0.8709645812347928,0.9577199755802461,0.9120009801489533,48.2
